City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,60.12,68,99,4.47,overcast clouds
1,Warrnambool,AU,-38.3833,142.4833,48.81,81,96,17.92,overcast clouds
2,Tiksi,RU,71.6872,128.8694,40.84,82,94,3.87,overcast clouds
3,Busselton,AU,-33.65,115.3333,58.17,66,100,4.79,overcast clouds
4,Ponta Do Sol,PT,32.6667,-17.1,70.43,82,23,4.03,few clouds
5,Saint-Philippe,RE,-21.3585,55.7679,63.99,84,53,9.24,light rain
6,Asahikawa,JP,43.7678,142.3703,72.61,68,75,10.36,heavy intensity rain
7,Hermanus,ZA,-34.4187,19.2345,54.81,79,97,8.66,overcast clouds
8,Terrace Bay,CA,48.7834,-87.1,51.57,91,44,4.81,scattered clouds
9,Avarua,CK,-21.2078,-159.775,75.25,64,75,16.11,broken clouds
10,Tooele,US,40.5308,-112.2983,87.89,37,0,8.05,clear sky
11,Cape Town,ZA,-33.9258,18.4232,59.38,87,83,3.44,fog
12,Nanortalik,GL,60.1432,-45.2371,41.36,93,56,10.22,broken clouds
13,Narowal,PK,32.1,74.8833,78.69,70,67,3.29,broken clouds
14,Karratha,AU,-20.7377,116.8463,63.41,33,1,10.78,clear sky
15,Ushuaia,AR,-54.8,-68.3,35.26,60,20,9.22,few clouds
16,Khatanga,RU,71.9667,102.5,60.04,53,88,5.77,overcast clouds
17,Poum,NC,-20.2333,164.0167,71.82,56,0,22.01,clear sky
18,Mar Del Plata,AR,-38.0023,-57.5575,50.88,96,100,10.36,drizzle
19,Barrow,US,71.2906,-156.7887,39.22,81,100,13.8,overcast clouds
20,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,93,0,11.5,clear sky
21,Saint-Francois,FR,46.4154,3.9054,62.04,63,0,0.0,clear sky
22,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.94,79,72,18.79,broken clouds
23,Sitka,US,57.0531,-135.33,55.29,88,100,4.61,overcast clouds
24,Esperance,AU,-33.8667,121.9,58.75,75,92,12.06,overcast clouds
25,Sangmelima,CM,2.9333,11.9833,66.25,100,37,2.86,scattered clouds
26,Vaini,TO,-21.2,-175.2,80.76,94,20,9.22,few clouds
27,Yerraguntla,IN,14.6372,78.5395,79.86,67,96,16.31,overcast clouds
28,Kapaa,US,22.0752,-159.319,84.18,69,20,13.8,few clouds
29,Luau,AO,-10.7073,22.2247,61.27,46,20,6.26,few clouds
30,San Vicente,AR,-26.6167,-54.1333,72.32,52,100,6.96,overcast clouds
31,Broome,US,42.2506,-75.833,74.17,57,2,4.61,clear sky
32,Rikitea,PF,-23.1203,-134.9692,68.2,80,100,10.31,light rain
33,Hudiksvall,SE,61.729,17.1036,47.64,90,100,14.36,overcast clouds
34,Hambantota,LK,6.1241,81.1185,78.35,82,99,15.64,overcast clouds
35,Glamoc,BA,44.0458,16.8486,58.15,83,0,4.25,clear sky
36,Vredendal,ZA,-31.6683,18.5012,61.83,40,68,9.35,broken clouds
37,Hobart,AU,-42.8794,147.3294,49.26,83,100,10.36,moderate rain
38,Mataura,NZ,-46.1927,168.8643,41.43,84,81,5.37,broken clouds
39,Cabra,ES,37.4725,-4.4421,78.08,29,0,5.53,clear sky
40,Vylkove,UA,45.4021,29.586,69.06,75,29,4.45,scattered clouds
41,Albany,US,42.6001,-73.9662,75.58,54,38,2.21,scattered clouds
42,Okhtyrka,UA,50.3104,34.8988,55.15,95,88,6.06,overcast clouds
43,Xuanwu,CN,32.069,118.8138,87.75,78,97,2.26,overcast clouds
44,Codrington,AU,-38.2667,141.9667,48.04,83,100,18.19,overcast clouds
45,Thomasville,US,35.8826,-80.082,85.87,66,59,4.88,broken clouds
46,Chokurdakh,RU,70.6333,147.9167,48.49,80,78,16.53,broken clouds
47,San Quintin,MX,30.4833,-115.95,71.44,69,4,12.12,clear sky
48,Shelopugino,RU,51.6514,117.5599,62.15,98,100,3.4,overcast clouds
49,Lebu,CL,-37.6167,-73.65,44.56,80,41,9.48,scattered clouds
50,Sabang,ID,5.8933,95.3214,82.17,77,100,18.39,overcast clouds
51,San Cristobal,VE,7.7669,-72.225,75.38,97,39,2.98,scattered clouds
52,Faanui,PF,-16.4833,-151.75,77.7,59,69,19.08,broken clouds
53,Tirumullaivasal,IN,11.2333,79.8333,81.37,67,98,10.42,overcast clouds
54,Geilo,NO,60.5333,8.2076,46.56,72,64,7.96,broken clouds
55,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,20.71,scattered clouds
56,Calama,CL,-22.4667,-68.9333,46.89,27,0,11.5,clear sky
57,Port Hardy,CA,50.6996,-127.4199,66.38,59,75,6.91,broken clouds
58,Nichinan,JP,31.6,131.3667,76.68,82,79,9.51,light rain
59,Jamestown,US,42.097,-79.2353,73.04,37,0,6.91,clear sky
60,Atuona,PF,-9.8,-139.0333,77.25,75,2,13.85,clear sky
61,Bethel,US,41.3712,-73.414,79.16,64,38,2.33,scattered clouds
62,Saint George,US,37.1041,-113.5841,106.25,20,0,10.36,clear sky
63,Punta Arenas,CL,-53.15,-70.9167,21.31,93,20,5.75,few clouds
64,Aklavik,CA,68.2191,-135.0107,57.2,58,75,2.3,broken clouds
65,Ixtapa,MX,20.7,-105.2,81.28,84,100,2.21,overcast clouds
66,Vostok,RU,46.4856,135.8833,64.69,73,100,6.29,overcast clouds
67,General Roca,AR,-39.0333,-67.5833,41.63,78,100,11.59,overcast clouds
68,Cabo San Lucas,MX,22.8909,-109.9124,92.61,45,0,11.5,clear sky
69,Fuxin,CN,42.0156,121.6589,73.35,72,31,11.68,scattered clouds
70,Saskylakh,RU,71.9167,114.0833,55.38,51,30,1.57,scattered clouds
71,Sao Filipe,CV,14.8961,-24.4956,74.64,81,100,6.22,overcast clouds
72,Seoul,KR,37.5683,126.9778,76.6,81,75,8.05,mist
73,East London,ZA,-33.0153,27.9116,59.4,71,4,12.68,clear sky
74,Carnarvon,AU,-24.8667,113.6333,64.02,49,0,10.76,clear sky
75,Emba,KZ,48.8264,58.1442,71.94,43,0,8.23,clear sky
76,Caravelas,BR,-17.7125,-39.2481,70.45,80,16,5.06,few clouds
77,Saryg-Sep,RU,51.5,95.6,54.27,66,57,2.53,broken clouds
78,Provideniya,RU,64.3833,-173.3,49.46,61,66,4.07,broken clouds
79,Kouroussa,GN,10.65,-9.8833,72.3,92,37,3.29,scattered clouds
80,Manavgat,TR,36.7867,31.4431,77.9,51,0,3.33,clear sky
81,Hilo,US,19.7297,-155.09,90.28,81,75,10.36,broken clouds
82,Honavar,IN,14.2833,74.45,78.1,89,62,12.8,moderate rain
83,Jalu,LY,29.0331,21.5482,77.41,52,0,16.82,clear sky
84,San Patricio,US,28.017,-97.5169,87.69,65,98,11.07,overcast clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,70.56,91,78,8.01,broken clouds
86,The Valley,AI,18.217,-63.0578,82.81,83,20,12.66,few clouds
87,Alyangula,AU,-13.8483,136.4192,72.79,58,92,12.15,overcast clouds
88,Liuzhou,CN,24.3126,109.3892,82.49,85,96,9.13,overcast clouds
89,Porbandar,IN,21.6422,69.6093,81.39,88,100,22.08,overcast clouds
90,Ilulissat,GL,69.2167,-51.1,44.62,87,20,3.44,fog
91,La Ciotat,FR,43.1748,5.6045,84.09,84,4,4.61,clear sky
92,Male,MV,4.1748,73.5089,82.35,89,40,9.22,scattered clouds
93,Airai,TL,-8.9266,125.4092,61.21,70,98,3.2,overcast clouds
94,Arazede,PT,40.2863,-8.65,65.05,92,34,2.95,scattered clouds
95,Tilichiki,RU,60.4667,166.1,58.62,70,35,8.7,scattered clouds
96,Yellowknife,CA,62.456,-114.3525,64.92,63,75,4.61,broken clouds
97,Benghazi,LY,32.1167,20.0667,76.87,66,0,9.57,clear sky
98,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,75,20,5.75,few clouds
99,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.37,56,71,0.89,broken clouds
100,Jiuquan,CN,39.7432,98.5174,71.51,42,100,8.25,overcast clouds
101,Bluff,NZ,-46.6,168.3333,45.43,74,85,21.3,overcast clouds
102,Erenhot,CN,43.6475,111.9767,78.24,36,57,10.11,broken clouds
103,New Norfolk,AU,-42.7826,147.0587,48.92,83,100,3.38,light rain
104,Richards Bay,ZA,-28.783,32.0377,63.91,76,78,1.74,broken clouds
105,Sur,OM,22.5667,59.5289,87.57,69,100,4.18,overcast clouds
106,Bredasdorp,ZA,-34.5322,20.0403,50.5,90,98,3.87,overcast clouds
107,Meulaboh,ID,4.1363,96.1285,75.9,86,83,3.85,broken clouds
108,Necochea,AR,-38.5473,-58.7368,49.24,95,99,14.12,overcast clouds
109,Uray,RU,60.1247,64.7758,65.39,90,83,3.22,broken clouds
110,Noshiro,JP,40.2039,140.0242,74.23,71,100,9.13,overcast clouds
111,Olga,RU,43.7444,135.2892,60.96,98,100,19.22,light rain
112,Honningsvag,NO,70.9821,25.9704,53.35,76,75,0.0,broken clouds
113,Mancio Lima,BR,-7.6142,-72.8958,82.47,78,20,3.44,few clouds
114,Ahipara,NZ,-35.1667,173.1667,55.92,73,58,10.25,broken clouds
115,Chuy,UY,-33.6971,-53.4616,58.87,99,100,2.3,overcast clouds
116,Hithadhoo,MV,-0.6,73.0833,83.66,73,73,14.47,broken clouds
117,Raudeberg,NO,61.9875,5.1352,48.87,80,88,13.76,overcast clouds
118,Bilibino,RU,68.0546,166.4372,64.49,40,99,13.49,overcast clouds
119,Namibe,AO,-15.1961,12.1522,66.56,87,67,4.92,broken clouds
120,Atambua,ID,-9.1061,124.8925,73.02,69,98,4.92,overcast clouds
